WinRate | TotalTrades | VolMax | BBWidthMin | VolSurgeMax | Wins | Losses
65.22% | 161 | 0.3 | 1.0 | 1.5 | 105 | 56
64.00% | 200 | 0.3 | 1.0 | 2.0 | 128 | 72
63.08% | 130 | 0.3 | 1.0 | 1.2 | 82 | 48
62.32% | 276 | 0.3 | 1.0 | 99.0 | 172 | 104
0.00% | 0 | 0.15 | 1.0 | 1.2 | 0 | 0
0.00% | 0 | 0.15 | 1.0 | 1.5 | 0 | 0
0.00% | 0 | 0.15 | 1.0 | 2.0 | 0 | 0
0.00% | 0 | 0.15 | 1.0 | 99.0 | 0 | 0
0.00% | 0 | 0.15 | 1.2 | 1.2 | 0 | 0
0.00% | 0 | 0.15 | 1.2 | 1.5 | 0 | 0
0.00% | 0 | 0.15 | 1.2 | 2.0 | 0 | 0
0.00% | 0 | 0.15 | 1.2 | 99.0 | 0 | 0
0.00% | 0 | 0.15 | 1.5 | 1.2 | 0 | 0
0.00% | 0 | 0.15 | 1.5 | 1.5 | 0 | 0
0.00% | 0 | 0.15 | 1.5 | 2.0 | 0 | 0
0.00% | 0 | 0.15 | 1.5 | 99.0 | 0 | 0
0.00% | 0 | 0.2 | 1.0 | 1.2 | 0 | 0
0.00% | 0 | 0.2 | 1.0 | 1.5 | 0 | 0
0.00% | 0 | 0.2 | 1.0 | 2.0 | 0 | 0
0.00% | 0 | 0.2 | 1.0 | 99.0 | 0 | 0
0.00% | 0 | 0.2 | 1.2 | 1.2 | 0 | 0
0.00% | 0 | 0.2 | 1.2 | 1.5 | 0 | 0
0.00% | 0 | 0.2 | 1.2 | 2.0 | 0 | 0
0.00% | 0 | 0.2 | 1.2 | 99.0 | 0 | 0
0.00% | 0 | 0.2 | 1.5 | 1.2 | 0 | 0
0.00% | 0 | 0.2 | 1.5 | 1.5 | 0 | 0
0.00% | 0 | 0.2 | 1.5 | 2.0 | 0 | 0
0.00% | 0 | 0.2 | 1.5 | 99.0 | 0 | 0
0.00% | 0 | 0.25 | 1.0 | 1.2 | 0 | 0
0.00% | 0 | 0.25 | 1.0 | 1.5 | 0 | 0
0.00% | 0 | 0.25 | 1.0 | 2.0 | 0 | 0
0.00% | 0 | 0.25 | 1.0 | 99.0 | 0 | 0
0.00% | 0 | 0.25 | 1.2 | 1.2 | 0 | 0
0.00% | 0 | 0.25 | 1.2 | 1.5 | 0 | 0
0.00% | 0 | 0.25 | 1.2 | 2.0 | 0 | 0
0.00% | 0 | 0.25 | 1.2 | 99.0 | 0 | 0
0.00% | 0 | 0.25 | 1.5 | 1.2 | 0 | 0
0.00% | 0 | 0.25 | 1.5 | 1.5 | 0 | 0
0.00% | 0 | 0.25 | 1.5 | 2.0 | 0 | 0
0.00% | 0 | 0.25 | 1.5 | 99.0 | 0 | 0
0.00% | 0 | 0.3 | 1.2 | 1.2 | 0 | 0
0.00% | 0 | 0.3 | 1.2 | 1.5 | 0 | 0
0.00% | 0 | 0.3 | 1.2 | 2.0 | 0 | 0
0.00% | 0 | 0.3 | 1.2 | 99.0 | 0 | 0
0.00% | 0 | 0.3 | 1.5 | 1.2 | 0 | 0
0.00% | 0 | 0.3 | 1.5 | 1.5 | 0 | 0
0.00% | 0 | 0.3 | 1.5 | 2.0 | 0 | 0
0.00% | 0 | 0.3 | 1.5 | 99.0 | 0 | 0
